"07818490-8d78-11e2-aa93-8dee04485f01";"1st12";NULL
"0781b30c-8d78-11e2-aa93-8dee04485f01";"2nd12";NULL
"0781dd64-8d78-11e2-aa93-8dee04485f01";"3rd12";NULL
"0782076c-8d78-11e2-aa93-8dee04485f01";"1to18";NULL
"0782321e-8d78-11e2-aa93-8dee04485f01";"EVEN";NULL
"07825d16-8d78-11e2-aa93-8dee04485f01";"RED";NULL
"07828728-8d78-11e2-aa93-8dee04485f01";"BLACK";NULL
"0782b0e0-8d78-11e2-aa93-8dee04485f01";"ODD";NULL
"0782da16-8d78-11e2-aa93-8dee04485f01";"19to36";NULL
"cbe02d10-8d77-11e2-aa93-8dee04485f01";"0";NULL
"cbe057f4-8d77-11e2-aa93-8dee04485f01";"1";"R"
"cbe07f04-8d77-11e2-aa93-8dee04485f01";"2";"S"
"cbe0a614-8d77-11e2-aa93-8dee04485f01";"3";"R"
"cbe0ccca-8d77-11e2-aa93-8dee04485f01";"4";"S"
"cbe0f38a-8d77-11e2-aa93-8dee04485f01";"5";"R"
"cbe11a18-8d77-11e2-aa93-8dee04485f01";"6";"S"
"cbe14330-8d77-11e2-aa93-8dee04485f01";"7";"R"
"cbe169be-8d77-11e2-aa93-8dee04485f01";"8";"S"
"cbe190ba-8d77-11e2-aa93-8dee04485f01";"9";"R"
"cbe1b7c0-8d77-11e2-aa93-8dee04485f01";"10";"S"
"cbe1de80-8d77-11e2-aa93-8dee04485f01";"11";"S"
"cbe20540-8d77-11e2-aa93-8dee04485f01";"12";"R"
"cbe22c50-8d77-11e2-aa93-8dee04485f01";"13";"S"
"cbe252de-8d77-11e2-aa93-8dee04485f01";"14";"R"
"cbe27958-8d77-11e2-aa93-8dee04485f01";"15";"S"
"cbe29ff0-8d77-11e2-aa93-8dee04485f01";"16";"R"
"cbe2c6d8-8d77-11e2-aa93-8dee04485f01";"17";"S"
"cbe371e6-8d77-11e2-aa93-8dee04485f01";"18";"R"
"cbe39b26-8d77-11e2-aa93-8dee04485f01";"19";"R"
"cbe3c25e-8d77-11e2-aa93-8dee04485f01";"20";"S"
"cbe3e90a-8d77-11e2-aa93-8dee04485f01";"21";"R"
"cbe40fe8-8d77-11e2-aa93-8dee04485f01";"22";"S"
"cbe4369e-8d77-11e2-aa93-8dee04485f01";"23";"R"
"cbe45d2c-8d77-11e2-aa93-8dee04485f01";"24";"S"
"cbe4846e-8d77-11e2-aa93-8dee04485f01";"25";"R"
"cbe4abb0-8d77-11e2-aa93-8dee04485f01";"26";"S"
"cbe4d2c0-8d77-11e2-aa93-8dee04485f01";"27";"R"
"cbe4f976-8d77-11e2-aa93-8dee04485f01";"28";"S"
"cbe5209a-8d77-11e2-aa93-8dee04485f01";"29";"S"
"cbe54732-8d77-11e2-aa93-8dee04485f01";"30";"R"
"cbe56e2e-8d77-11e2-aa93-8dee04485f01";"31";"S"
"cbe594f8-8d77-11e2-aa93-8dee04485f01";"32";"R"
"cbe5bbfe-8d77-11e2-aa93-8dee04485f01";"33";"S"
"cbe5e2b4-8d77-11e2-aa93-8dee04485f01";"34";"R"
"cbe60960-8d77-11e2-aa93-8dee04485f01";"35";"S"
"cbe63016-8d77-11e2-aa93-8dee04485f01";"36";"R"
"cbe65726-8d77-11e2-aa93-8dee04485f01";"2to1-r";NULL
"cbe67db4-8d77-11e2-aa93-8dee04485f01";"2to1-m";NULL
"cbe6a4ba-8d77-11e2-aa93-8dee04485f01";"2to1-l";NULL
